my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1500,46,-4557.8
0,3000,46,-4613.05
0,6000,46,-4630.4
0,12000,46,-4585.7
0,18000,46,-4591.05
0,24000,46,-4643.4
1,1500,46,-4067.3
1,3000,46,-3870.4
1,6000,46,-3570.3
1,12000,46,-2825.55
1,18000,46,-2128.8
1,24000,46,-1390.45
2,1500,46,-3527.3
2,3000,46,-3314.7
2,6000,46,-2598.35
2,12000,46,-1264.25
2,18000,46,12.2
2,24000,46,1336.1
3,1500,46,-3135.8
3,3000,46,-2633.35
3,6000,46,-1797.6
3,12000,46,33.8
3,18000,46,1734.65
3,24000,46,3859.65
4,1500,46,-2727.2
4,3000,46,-2227.5
4,6000,46,-1022.85
4,12000,46,1198.25
4,18000,46,3406.35
4,24000,46,5634.05
5,1500,46,-2426.9
5,3000,46,-1827.85
5,6000,46,-524.5
5,12000,46,2054.65
5,18000,46,4798.35
5,24000,46,7381.8
6,1500,46,-2079.65
6,3000,46,-1428.8
6,6000,46,53.85
6,12000,46,2976.3
6,18000,46,6027.8
6,24000,46,8548.65
7,1500,46,-1945.9
7,3000,46,-1075.7
7,6000,46,524.45
7,12000,46,3572.95
7,18000,46,6691.85
7,24000,46,9758.65
8,1500,46,-1650.25
8,3000,46,-781.8
8,6000,46,871.85
8,12000,46,4334.55
8,18000,46,7595.6
8,24000,46,11099.0
9,1500,46,-1439.25
9,3000,46,-505.6
9,6000,46,1174.3
9,12000,46,4874.9
9,18000,46,8488.55
9,24000,46,11741.6
10,1500,46,-1231.6
10,3000,46,-252.05
10,6000,46,1530.7
10,12000,46,5252.2
10,18000,46,8970.65
10,24000,46,12740.05
11,1500,46,-1108.35
11,3000,46,-53.75
11,6000,46,1830.75
11,12000,46,5610.15
11,18000,46,9723.15
11,24000,46,13426.3
12,1500,46,-979.75
12,3000,46,154.0
12,6000,46,2105.45
12,12000,46,6021.15
12,18000,46,10002.4
12,24000,46,14218.85
13,1500,46,-801.5
13,3000,46,229.75
13,6000,46,2311.25
13,12000,46,6529.7
13,18000,46,10550.95
13,24000,46,14956.35
14,1500,46,-659.8
14,3000,46,444.65
14,6000,46,2560.95
14,12000,46,6729.45
14,18000,46,11006.8
14,24000,46,15414.3
15,1500,46,-542.05
15,3000,46,512.9
15,6000,46,2647.8
15,12000,46,7202.0
15,18000,46,11332.2
15,24000,46,15544.65
16,1500,46,-465.5
16,3000,46,682.5
16,6000,46,2965.45
16,12000,46,7225.7
16,18000,46,11704.75
16,24000,46,16031.35
17,1500,46,-351.7
17,3000,46,724.2
17,6000,46,2996.85
17,12000,46,7542.8
17,18000,46,12033.95
17,24000,46,16627.7
18,1500,46,-283.15
18,3000,46,864.1
18,6000,46,3157.4
18,12000,46,7873.9
18,18000,46,12481.8
18,24000,46,16806.45
19,1500,46,-218.2
19,3000,46,978.1
19,6000,46,3334.7
19,12000,46,8011.8
19,18000,46,12548.95
19,24000,46,17262.9
