my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,46,-1034.9
0,2000,46,-1040.6
0,4000,46,-1034.4
0,8000,46,-1029.0
0,12000,46,-1044.0
0,16000,46,-1022.2
1,1000,46,-820.25
1,2000,46,-662.6
1,4000,46,-370.9
1,8000,46,185.05
1,12000,46,713.65
1,16000,46,1419.8
2,1000,46,-611.85
2,2000,46,-399.85
2,4000,46,157.5
2,8000,46,1180.4
2,12000,46,2290.4
2,16000,46,3268.95
3,1000,46,-447.15
3,2000,46,-123.15
3,4000,46,609.65
3,8000,46,2021.85
3,12000,46,3493.3
3,16000,46,4905.35
4,1000,46,-318.4
4,2000,46,114.25
4,4000,46,1045.7
4,8000,46,2789.5
4,12000,46,4329.4
4,16000,46,6175.4
5,1000,46,-183.55
5,2000,46,344.5
5,4000,46,1360.15
5,8000,46,3375.95
5,12000,46,5365.2
5,16000,46,7319.75
6,1000,46,-62.9
6,2000,46,482.15
6,4000,46,1586.3
6,8000,46,3820.7
6,12000,46,6171.25
6,16000,46,8293.25
7,1000,46,17.45
7,2000,46,657.0
7,4000,46,1834.85
7,8000,46,4298.4
7,12000,46,6783.3
7,16000,46,9270.1
8,1000,46,105.15
8,2000,46,734.85
8,4000,46,2079.55
8,8000,46,4659.4
8,12000,46,7220.55
8,16000,46,9982.35
9,1000,46,166.9
9,2000,46,863.65
9,4000,46,2215.9
9,8000,46,4971.7
9,12000,46,7739.95
9,16000,46,10546.35
10,1000,46,233.95
10,2000,46,973.0
10,4000,46,2395.4
10,8000,46,5242.95
10,12000,46,8173.3
10,16000,46,11077.15
11,1000,46,295.2
11,2000,46,1037.15
11,4000,46,2548.15
11,8000,46,5423.65
11,12000,46,8433.1
11,16000,46,11424.3
12,1000,46,355.95
12,2000,46,1112.15
12,4000,46,2655.2
12,8000,46,5720.55
12,12000,46,8798.75
12,16000,46,11941.6
13,1000,46,396.25
13,2000,46,1174.1
13,4000,46,2755.05
13,8000,46,5917.15
13,12000,46,9075.25
13,16000,46,12215.95
14,1000,46,430.9
14,2000,46,1223.45
14,4000,46,2812.25
14,8000,46,6064.3
14,12000,46,9235.65
14,16000,46,12469.9
15,1000,46,474.85
15,2000,46,1280.55
15,4000,46,2944.7
15,8000,46,6160.45
15,12000,46,9457.75
15,16000,46,12759.0
16,1000,46,505.25
16,2000,46,1350.4
16,4000,46,2972.15
16,8000,46,6244.6
16,12000,46,9692.65
16,16000,46,12951.5
17,1000,46,531.4
17,2000,46,1374.0
17,4000,46,3063.3
17,8000,46,6473.8
17,12000,46,9707.25
17,16000,46,13216.5
18,1000,46,563.55
18,2000,46,1404.3
18,4000,46,3120.7
18,8000,46,6556.6
18,12000,46,9951.7
18,16000,46,13355.4
19,1000,46,578.2
19,2000,46,1441.05
19,4000,46,3113.15
19,8000,46,6583.55
19,12000,46,10114.5
19,16000,46,13483.55
