my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,46,-1026.65
0,2000,46,-1028.5
0,4000,46,-1015.05
0,8000,46,-1039.95
0,12000,46,-1028.4
0,16000,46,-1022.35
1,1000,46,-804.35
1,2000,46,-736.5
1,4000,46,-595.95
1,8000,46,-367.0
1,12000,46,-158.85
1,16000,46,221.2
2,1000,46,-599.35
2,2000,46,-448.35
2,4000,46,-225.5
2,8000,46,277.2
2,12000,46,768.55
2,16000,46,1209.8
3,1000,46,-430.9
3,2000,46,-220.3
3,4000,46,114.85
3,8000,46,876.7
3,12000,46,1595.3
3,16000,46,2208.55
4,1000,46,-284.25
4,2000,46,-29.3
4,4000,46,390.7
4,8000,46,1343.2
4,12000,46,2317.3
4,16000,46,3092.4
5,1000,46,-182.85
5,2000,46,129.0
5,4000,46,643.95
5,8000,46,1777.6
5,12000,46,2984.45
5,16000,46,4152.6
6,1000,46,-76.85
6,2000,46,257.4
6,4000,46,937.8
6,8000,46,2259.8
6,12000,46,3482.95
6,16000,46,4701.35
7,1000,46,22.8
7,2000,46,375.85
7,4000,46,1132.05
7,8000,46,2555.3
7,12000,46,4082.45
7,16000,46,5620.5
8,1000,46,61.15
8,2000,46,493.95
8,4000,46,1291.2
8,8000,46,3040.15
8,12000,46,4519.25
8,16000,46,6193.25
9,1000,46,177.6
9,2000,46,577.85
9,4000,46,1463.5
9,8000,46,3314.55
9,12000,46,5043.8
9,16000,46,6970.85
10,1000,46,205.0
10,2000,46,660.75
10,4000,46,1625.8
10,8000,46,3632.4
10,12000,46,5449.65
10,16000,46,7494.75
11,1000,46,247.2
11,2000,46,754.35
11,4000,46,1770.1
11,8000,46,3763.65
11,12000,46,5984.25
11,16000,46,8039.95
12,1000,46,286.7
12,2000,46,846.95
12,4000,46,1905.6
12,8000,46,4076.9
12,12000,46,6207.35
12,16000,46,8455.7
13,1000,46,336.75
13,2000,46,887.05
13,4000,46,2078.3
13,8000,46,4231.5
13,12000,46,6614.5
13,16000,46,8880.45
14,1000,46,351.55
14,2000,46,953.4
14,4000,46,2140.4
14,8000,46,4498.75
14,12000,46,6853.35
14,16000,46,9230.15
15,1000,46,386.15
15,2000,46,1035.25
15,4000,46,2263.1
15,8000,46,4676.75
15,12000,46,7078.85
15,16000,46,9488.25
16,1000,46,408.25
16,2000,46,1078.85
16,4000,46,2281.8
16,8000,46,4834.65
16,12000,46,7363.0
16,16000,46,9887.15
17,1000,46,434.4
17,2000,46,1093.05
17,4000,46,2404.05
17,8000,46,5046.65
17,12000,46,7613.5
17,16000,46,10320.95
18,1000,46,436.05
18,2000,46,1119.0
18,4000,46,2471.65
18,8000,46,5194.7
18,12000,46,7782.15
18,16000,46,10448.55
19,1000,46,483.3
19,2000,46,1182.95
19,4000,46,2590.45
19,8000,46,5331.0
19,12000,46,7968.85
19,16000,46,10941.3
