my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,22,-2376.25
0,2000,22,-2347.2
0,4000,22,-2432.6
0,8000,22,-2388.35
0,12000,22,-2406.95
0,16000,22,-2448.8
1,1000,22,-2204.7
1,2000,22,-2092.0
1,4000,22,-1849.75
1,8000,22,-1469.5
1,12000,22,-1085.1
1,16000,22,-858.5
2,1000,22,-2009.95
2,2000,22,-1825.05
2,4000,22,-1454.3
2,8000,22,-837.75
2,12000,22,-28.05
2,16000,22,791.7
3,1000,22,-1789.5
3,2000,22,-1585.25
3,4000,22,-1036.2
3,8000,22,-94.15
3,12000,22,1046.45
3,16000,22,2051.85
4,1000,22,-1617.45
4,2000,22,-1362.4
4,4000,22,-755.6
4,8000,22,682.2
4,12000,22,1753.9
4,16000,22,3211.35
5,1000,22,-1495.35
5,2000,22,-1150.4
5,4000,22,-348.55
5,8000,22,1165.2
5,12000,22,2683.3
5,16000,22,4044.9
6,1000,22,-1319.65
6,2000,22,-941.2
6,4000,22,-43.9
6,8000,22,1690.8
6,12000,22,3415.85
6,16000,22,5085.2
7,1000,22,-1227.85
7,2000,22,-726.85
7,4000,22,284.9
7,8000,22,2093.05
7,12000,22,4057.35
7,16000,22,5910.0
8,1000,22,-1080.65
8,2000,22,-524.3
8,4000,22,558.0
8,8000,22,2608.1
8,12000,22,4637.35
8,16000,22,6648.45
9,1000,22,-932.2
9,2000,22,-382.85
9,4000,22,780.05
9,8000,22,2904.45
9,12000,22,5098.0
9,16000,22,7133.0
10,1000,22,-800.95
10,2000,22,-215.8
10,4000,22,926.15
10,8000,22,3325.45
10,12000,22,5605.1
10,16000,22,8088.45
11,1000,22,-721.6
11,2000,22,-156.3
11,4000,22,1142.35
11,8000,22,3543.25
11,12000,22,6072.45
11,16000,22,8465.75
12,1000,22,-600.4
12,2000,22,1.1
12,4000,22,1343.5
12,8000,22,3873.7
12,12000,22,6336.65
12,16000,22,8948.65
13,1000,22,-531.95
13,2000,22,113.3
13,4000,22,1430.3
13,8000,22,4113.65
13,12000,22,6596.35
13,16000,22,9434.95
14,1000,22,-458.45
14,2000,22,240.8
14,4000,22,1568.85
14,8000,22,4502.05
14,12000,22,7061.15
14,16000,22,9928.55
15,1000,22,-395.7
15,2000,22,329.85
15,4000,22,1713.15
15,8000,22,4594.25
15,12000,22,7188.35
15,16000,22,10166.45
16,1000,22,-300.8
16,2000,22,386.6
16,4000,22,1772.25
16,8000,22,4727.1
16,12000,22,7675.35
16,16000,22,10507.75
17,1000,22,-265.3
17,2000,22,480.25
17,4000,22,1909.2
17,8000,22,4916.6
17,12000,22,7900.0
17,16000,22,10922.35
18,1000,22,-134.65
18,2000,22,557.75
18,4000,22,2071.25
18,8000,22,5038.8
18,12000,22,7971.05
18,16000,22,11015.05
19,1000,22,-139.9
19,2000,22,584.55
19,4000,22,2086.4
19,8000,22,5215.8
19,12000,22,8274.0
19,16000,22,11268.85
