my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,46,-3787.05
0,2000,46,-3864.75
0,4000,46,-3835.9
0,8000,46,-3925.4
0,12000,46,-3870.4
0,16000,46,-3912.05
1,1000,46,-3521.65
1,2000,46,-3529.25
1,4000,46,-3358.25
1,8000,46,-3058.45
1,12000,46,-2765.75
1,16000,46,-2736.55
2,1000,46,-3235.15
2,2000,46,-3165.95
2,4000,46,-2894.65
2,8000,46,-2372.05
2,12000,46,-1902.65
2,16000,46,-1362.0
3,1000,46,-3003.4
3,2000,46,-2862.8
3,4000,46,-2440.1
3,8000,46,-1749.65
3,12000,46,-1016.0
3,16000,46,-223.15
4,1000,46,-2789.95
4,2000,46,-2481.95
4,4000,46,-2058.6
4,8000,46,-1121.5
4,12000,46,-16.5
4,16000,46,787.8
5,1000,46,-2578.35
5,2000,46,-2318.35
5,4000,46,-1806.3
5,8000,46,-463.05
5,12000,46,557.35
5,16000,46,1742.9
6,1000,46,-2370.85
6,2000,46,-2174.9
6,4000,46,-1501.35
6,8000,46,-62.2
6,12000,46,1282.1
6,16000,46,2680.5
7,1000,46,-2231.45
7,2000,46,-1901.95
7,4000,46,-1125.2
7,8000,46,330.4
7,12000,46,1890.5
7,16000,46,3544.15
8,1000,46,-2045.8
8,2000,46,-1657.05
8,4000,46,-761.8
8,8000,46,903.7
8,12000,46,2388.95
8,16000,46,4141.45
9,1000,46,-1899.3
9,2000,46,-1532.9
9,4000,46,-597.2
9,8000,46,1228.5
9,12000,46,2873.2
9,16000,46,4708.55
10,1000,46,-1811.9
10,2000,46,-1267.0
10,4000,46,-351.55
10,8000,46,1505.35
10,12000,46,3705.45
10,16000,46,5421.6
11,1000,46,-1677.25
11,2000,46,-1182.4
11,4000,46,-121.95
11,8000,46,1812.55
11,12000,46,4064.35
11,16000,46,6025.1
12,1000,46,-1531.2
12,2000,46,-1010.5
12,4000,46,90.6
12,8000,46,2325.5
12,12000,46,4387.3
12,16000,46,6457.9
13,1000,46,-1545.5
13,2000,46,-847.2
13,4000,46,197.5
13,8000,46,2473.75
13,12000,46,4772.75
13,16000,46,7095.75
14,1000,46,-1303.05
14,2000,46,-749.3
14,4000,46,379.25
14,8000,46,2936.25
14,12000,46,5115.45
14,16000,46,7515.4
15,1000,46,-1230.8
15,2000,46,-631.55
15,4000,46,505.65
15,8000,46,2957.0
15,12000,46,5673.05
15,16000,46,7895.05
16,1000,46,-1199.55
16,2000,46,-455.9
16,4000,46,761.45
16,8000,46,3267.75
16,12000,46,5823.65
16,16000,46,8424.55
17,1000,46,-1080.05
17,2000,46,-415.85
17,4000,46,910.65
17,8000,46,3527.65
17,12000,46,6103.1
17,16000,46,8748.95
18,1000,46,-928.05
18,2000,46,-266.4
18,4000,46,962.0
18,8000,46,3815.65
18,12000,46,6368.0
18,16000,46,9243.95
19,1000,46,-868.3
19,2000,46,-227.6
19,4000,46,1106.75
19,8000,46,4021.85
19,12000,46,6637.35
19,16000,46,9404.7
