my_wait_count,my_hand_power,draw_pile_size,avg_score_diff
0,1000,46,-5830.5
0,2000,46,-5790.45
0,4000,46,-5771.1
0,8000,46,-5781.9
0,12000,46,-5673.45
0,16000,46,-5860.65
1,1000,46,-5065.55
1,2000,46,-4943.85
1,4000,46,-4659.55
1,8000,46,-4398.75
1,12000,46,-3949.65
1,16000,46,-3396.45
2,1000,46,-4506.95
2,2000,46,-4281.9
2,4000,46,-3762.0
2,8000,46,-3054.85
2,12000,46,-2155.05
2,16000,46,-1177.35
3,1000,46,-4056.35
3,2000,46,-3696.5
3,4000,46,-3085.85
3,8000,46,-1944.1
3,12000,46,-705.3
3,16000,46,481.75
4,1000,46,-3672.25
4,2000,46,-3211.1
4,4000,46,-2527.25
4,8000,46,-972.5
4,12000,46,512.1
4,16000,46,1989.6
5,1000,46,-3117.8
5,2000,46,-2807.7
5,4000,46,-1980.3
5,8000,46,-228.55
5,12000,46,1513.5
5,16000,46,3362.65
6,1000,46,-2928.35
6,2000,46,-2338.55
6,4000,46,-1468.1
6,8000,46,497.5
6,12000,46,2412.0
6,16000,46,4349.45
7,1000,46,-2607.8
7,2000,46,-1983.55
7,4000,46,-855.6
7,8000,46,1029.75
7,12000,46,3217.65
7,16000,46,5294.2
8,1000,46,-2345.25
8,2000,46,-1695.3
8,4000,46,-567.35
8,8000,46,1648.45
8,12000,46,3697.5
8,16000,46,6051.45
9,1000,46,-2122.8
9,2000,46,-1551.15
9,4000,46,-293.75
9,8000,46,2116.4
9,12000,46,4428.45
9,16000,46,6719.45
10,1000,46,-1876.85
10,2000,46,-1250.5
10,4000,46,-66.15
10,8000,46,2554.7
10,12000,46,5001.3
10,16000,46,7379.4
11,1000,46,-1769.75
11,2000,46,-1075.55
11,4000,46,291.5
11,8000,46,2814.1
11,12000,46,5496.3
11,16000,46,8171.55
12,1000,46,-1575.7
12,2000,46,-881.05
12,4000,46,416.7
12,8000,46,3088.3
12,12000,46,5646.15
12,16000,46,8545.05
13,1000,46,-1344.35
13,2000,46,-619.55
13,4000,46,648.6
13,8000,46,3435.8
13,12000,46,6177.75
13,16000,46,8907.9
14,1000,46,-1212.9
14,2000,46,-580.25
14,4000,46,921.7
14,8000,46,3757.5
14,12000,46,6582.75
14,16000,46,9285.3
15,1000,46,-1122.3
15,2000,46,-489.8
15,4000,46,1039.9
15,8000,46,4014.4
15,12000,46,6825.45
15,16000,46,9749.95
16,1000,46,-955.85
16,2000,46,-233.5
16,4000,46,1168.05
16,8000,46,4073.55
16,12000,46,7115.4
16,16000,46,9996.8
17,1000,46,-846.95
17,2000,46,-166.6
17,4000,46,1346.65
17,8000,46,4353.5
17,12000,46,7353.6
17,16000,46,10362.6
18,1000,46,-835.65
18,2000,46,12.35
18,4000,46,1508.55
18,8000,46,4535.25
18,12000,46,7641.75
18,16000,46,10711.2
19,1000,46,-719.45
19,2000,46,-0.15
19,4000,46,1634.55
19,8000,46,4685.95
19,12000,46,7768.35
19,16000,46,10849.5
